id	genes
R03165	(k249_679466_9) or (k249_955711_1) or (k249_1980508_6) or (k249_1980508_7) or (k249_1980508_8)
R03194	(k249_679466_9) or (k249_955711_1) or (k249_1980508_6) or (k249_1980508_7) or (k249_1980508_8)
R03947	(k249_679466_9) or (k249_955711_1)
R05180	(k249_679466_9) or (k249_955711_1)
R05807	(k249_679466_9) or (k249_955711_1)
R05809	(k249_679466_9) or (k249_955711_1)
R07772	(k249_679466_9) or (k249_955711_1)
R07463	k249_681376_1
R00494	k249_681376_6
R03970	k249_681376_6
R03971	k249_681376_6
R03816	(k249_686474_1) or (k249_2841686_1)
R04591	(k249_686474_6) or (k249_1594781_9)
R04208	k249_686474_8
R04325	(k249_686474_9) or (k249_2893409_8)
R04326	(k249_686474_9) or (k249_2893409_8)
R00704	k249_686474_11
R00472	(k249_686474_12) or (k249_844725_2) or (k249_981189_1) or (k249_2973906_4)
R00189	(k249_693436_1) or (k249_2006534_8)
R00257	(k249_693436_1) or (k249_2006534_8)
R01334	k249_693436_2
R00006	(k249_693436_7) or (k249_693436_8)
R00014	(k249_693436_7) or (k249_693436_8) or (k249_1486087_2) or (k249_2416230_6)
R00226	(k249_693436_7) or (k249_693436_8)
R03050	(k249_693436_7) or (k249_693436_8)
R04672	(k249_693436_7) or (k249_693436_8)
R04673	(k249_693436_7) or (k249_693436_8)
R08648	(k249_693436_7) or (k249_693436_8)
R03051	k249_693436_9
R04439	k249_693436_9
R04440	k249_693436_9
R05068	k249_693436_9
R05069	k249_693436_9
R05071	k249_693436_9
R02601	k249_693608_6
R04781	k249_693608_6
R00751	k249_693608_8
R06171	k249_693608_8
R00411	k249_693987_5
R01837	k249_696185_2
R02216	k249_696185_2
R02499	k249_696185_2
R02840	k249_696185_2
R03327	k249_696185_2
R04163	k249_696185_2
R04678	k249_696185_2
R04849	k249_696185_2
R09955	k249_696185_2
R10002	k249_696185_8
R01324	k249_696185_9
R01325	k249_696185_9
R01900	k249_696185_9
R04425	k249_696185_9
R00200	(k249_696185_11) or (k249_1486087_3)
R00430	(k249_696185_11) or (k249_1486087_3)
